Name,#,Standard,2018 retro-PSEFS,2019 retro-PSEFS,2020 retro-PSEFS,2022 PSEFS (initial),2023 PSEFS (initial),2024 PSEFS (initial),Rookie Year,Last Registered Season,Years Competed,Encountered?,Verified by:,Date Last Verified ),Signature (Lead Only),Sign Off Date,Notes
The Revolution,360,,2,2,3,2,2,2,2000,2024,25,Y,adonis,10/26/23,,,
Team XBOT,488,,1,1,2,1,1,1,2000,2024,25,Y,isha,10/28/23,,,
Titan Robotics Club,492,,3,2,3,2,2,2,2001,2024,24,Y,adonis,10/27/23,,,
Nerds of the North,568,,-,-,-,2,2,2,2001,2024,24,N,,,,,
High Desert Droids,753,,-,-,-,3,3,3,2002,2024,23,Y,,,,,"check, 2024 could be 2"
PHRED,847,,-,-,-,6,4,4,2002,2024,23,N,,,,,last did well in 2018
NRG (Newport Robotics Group),948,,-,-,-,1,2,2,2002,2024,23,Y,,,,,WHO ranked them as a 3 answer fast i have some words
Wolverine Robotics,949,Y,3,3,3,3,3,3,2002,2024,23,Y,Isha,10/26/23,,,
CV Robotics,955,,-,-,-,3,1,1,2002,2024,23,N,,,,,"good in 2016, considerably worse after that until the 2022 season"
SWARM - South and West Albany Robotics Maniacs,957,,-,-,-,3,2,3,2002,2024,23,N,,,,,"can i dock points from them for making me scroll through the absurdly long ""aka"" section"
Spartan Robotics,997,,-,-,-,2,1,2,2002,2024,23,N,,,,,2019 and 2022 made it to dcmp & did well
Seabot,1258,,4,4,3,6,6,6,2004,2022,19,Y,,,,,Verify pre covids
Pack of Parts,1294,,2,3,3,3,3,3,2004,2024,21,Y,Ishan,10/26/23,,,Verify pre covids
Issaquah Robotics Society,1318,Y,1,1,1,1,1,1,2004,2024,21,Y,Isha,10/26/23,,,
Scalawags,1359,,-,-,-,4,3,3,2004,2024,21,N,,,,,
Error Code Xero,1425,,-,-,-,1,1,1,2004,2024,21,N,,,,,
Metal Beavers,1432,,-,-,-,3,2,2,2004,2024,21,N,,,,,"ranks relatively high, hasn't gone to dcmp recently"
Wildcats,1510,,-,-,-,6,7,7,2005,2020,16,N,,,,,
Flaming Chickens,1540,,-,-,-,1,1,1,2005,2024,20,N,,,,,
CALibrate Robotics,1571,,-,-,-,6,6,6,2005,2022,18,N,,,,,
The Dragons,1595,,-,-,-,3,1,2,2005,2024,20,Y,,,,,
Chill Out,1778,,-,-,-,2,2,2,2006,2024,19,Y,,,,,
Saints Robotics,1899,,-,-,-,2,2,2,2006,2024,19,Y,,,,,
Skunk Works Robotics,1983,,-,-,-,1,2,1,2007,2024,18,Y,,,,,
Bear Metal,2046,,-,-,-,1,1,1,2007,2024,18,Y,,,,,
Phoenix Force Robotics,2097,,-,-,-,1,3,4,2007,2024,18,Y,,,,,
CHUCK,2147,,-,-,-,1,1,2,2007,2024,18,Y,,,,,
Jesuit Robotics,2374,,-,-,-,4,4,3,2008,2024,17,N,,,,,
Rebel Alliance,2411,,-,-,-,6,7,7,2008,2020,13,N,,,,,
Robototes,2412,,-,-,-,3,1,1,2008,2024,17,Y,,,,,
Team Mean Machine,2471,,-,-,-,1,1,2,2008,2024,17,N,,,,,"decline from 2022 to 2023 season, possibly low return from past members"
SERT,2521,,-,-,-,3,2,2,2008,2024,17,N,,,,,check 2024
Royal Robotics,2522,,-,-,-,1,1,2,2008,2024,17,Y,,,,,
Skynet,2550,,-,-,-,6,-,-,2008,2024,17,N,,,,,
SOTAbots,2557,,-,-,-,1,-,2,2008,2024,17,Y,,,,,
Seamonsters,2605,,-,-,-,6,6,7,2008,2021,14,N,Isha,,,,last competed 2021
Lake Monsters,2635,,-,-,-,-,-,-,2008,2024,17,N,,,,,
Pigmice,2733,,-,-,-,2,3,4,2009,2024,16,N,,,,,
StormBots,2811,,-,-,-,-,-,-,2009,2024,16,N,,,,,
Flying Hedgehogs,2898,,-,-,-,-,-,-,2009,2024,16,N,,,,,
NeoBots,2903,,-,-,-,3,4,4,2009,2024,16,Y,,,,,
Sentinel Prime Robotics,2906,,-,-,-,4,-,-,2009,2024,16,Y,,,,,
Lion Robotics,2907,,-,-,-,1,-,-,2009,2024,16,Y,,,,,
Jack in the Bot,2910,Y,1,1,1,1,1,1,2009,2024,16,Y,Ishan,10/26/23,,,
Pandamonium,2915,,-,-,-,-,-,-,2009,2024,16,N,,,,,
Robo Sparks,2926,,-,-,-,-,-,2,2009,2024,16,Y,,,,,
NEST Robotics (formerly GKHS Pi Rho Techs),2927,,-,-,-,4,6,-,2009,2024,16,Y,,,,,
Viking Robotics,2928,,-,-,-,1,3,3,2009,2024,16,Y,,,,,
Emeral Ridge JAGBOTS,2929,,-,-,-,5,-,-,2009,2024,16,Y,strikes me as a standard 5?,,,,
Sonic Squirrels,2930,,-,-,-,1,1,1,2009,2024,16,Y,,,,,
Titanium Tigers,2944,,-,-,-,6,7,7,2009,2020,12,N,,,,,
The Spartabots,2976,,-,-,-,1,1,2,2009,2024,16,Y,,,,,
Whidbey Island Wildcats,2980,,-,-,-,2,3,3,2009,2024,16,Y,,,,,
Hotwire,2990,,-,-,-,-,-,2,2009,2024,16,Y,,,,,
My Favorite Team,3024,,-,-,-,-,-,-,2009,2024,16,N,,,,,
BremerTron,3049,,-,-,-,4,4,4,2009,2024,16,Y,,,,,
Team Pronto,3070,,-,-,-,4,3,3,2009,2024,16,Y,,,,,
Gladiators,3131,,-,-,-,-,6,6,2010,2022,13,N,,,,,last competed 2022
Panther Robotics,3218,,-,-,-,2,-,1,2010,2024,15,Y,,,,,
"TREAD (Trojan Robotics, Engineering, And Design)",3219,,-,-,-,3,-,3,2010,2024,15,Y,,,,,
Robotics of Central Kitsap (ROCK 3223),3223,,-,-,-,6,6,7,2010,2021,12,N,,,,,last competed 2021
Event Horizon,3237,,-,-,-,6,6,7,2010,2021,12,N,,,,,
Cyborg Ferrets,3238,,-,-,-,6,7,7,2010,2020,11,N,,,,,
Valhallabots,3268,,-,-,-,5,4,4,2010,2024,15,Y,,,,,
Horns of Havoc,3393,,-,-,-,4,-,-,2010,2024,15,Y,,,,,
HIGH TEKERZ,3574,,-,-,-,-,-,-,2011,2024,14,Y,,,,,
the Talon,3588,,-,-,-,3,-,-,2011,2024,14,Y,,,,,
Generals,3636,,-,-,-,-,-,-,2011,2024,14,N,,,,,
CPR - Cedar Park Robotics,3663,,-,-,-,1,-,-,2011,2024,14,Y,,,,,
C.Y.B.O.R.G. Seagulls,3673,,-,-,-,-,-,-,2011,2024,14,N,,,,,
CloverBots,3674,,-,-,-,-,-,-,2011,2024,14,N,,,,,
Robo-Raiders,3681,,-,-,-,4,3,4,2011,2024,14,Y,,,,,
GearHead Pirates,3693,,-,-,-,6,6,7,2011,2021,11,N,,,,,
Iron Mustang,3711,,-,-,-,-,-,6,2011,2023,13,N,,,,,
RoboCats,3712,,-,-,-,-,-,-,2011,2024,14,N,,,,,
Chargers,3786,,-,-,-,-,-,4,2011,2024,14,Y,,,,,
Bits & Bots,3812,,-,-,-,-,-,-,2011,2024,14,N,,,,,
"Sequim Robotics Federation ""SRF""",3826,,2,2,2,3,3,3,2011,2024,14,Y,,,,,Verify pre covids
Mabton LugNutz,3876,,-,-,-,-,3,4,2011,2024,14,Y,,,,,
NerdHerd,4043,,-,-,-,-,-,-,2012,2024,13,N,,,,,
Klamath Basin Robotics - STEAMPUNK,4057,,-,-,-,-,6,6,2012,2022,11,N,,,,,
Bearcat Robotics,4060,,-,-,-,3,-,-,2012,2024,13,Y,,,,,
SciBorgs,4061,,-,-,-,-,-,-,2012,2024,13,N,,,,,
Stealth Robotics,4089,,-,-,-,3,1,2,2012,2024,13,Y,,,,,
Error-4104,4104,,-,-,-,-,-,-,2012,2024,13,Y,,,,,
DEEP SPACE 9'ers,4110,,-,-,-,6,6,7,2012,2021,10,N,,,,,
Confidential,4125,,-,-,-,-,-,-,2012,2024,13,N,,,,,
LoggerBots,4127,,-,-,-,-,-,-,2012,2024,13,N,,,,,
Iron Patriots,4131,,-,-,-,3,3,2,2012,2024,13,Y,,,,,
IMVERT (Mount Vernon Robotics Team),4173,,-,-,-,4,4,3,2012,2024,13,Y,,,,,
Iron Riders,4180,Y,3,3,3,3,3,4,2012,2024,13,Y,Isha,10/27/23,,,
ROBOCUBS,4205,,-,-,-,3,6,6,2012,2022,11,Y,,,,,last competed 2022
4-H Botsmiths,4309,,-,-,-,3,6,6,2012,2022,11,Y,,,,,
Olympia Robotics Federation,4450,,-,-,-,-,3,3,2013,2024,12,Y,,,,,
Ramen,4461,,-,-,-,6,7,7,2013,2020,8,N,,,,,
R.A.I.D. (Raider Artificial Intelligence Division),4469,,-,-,-,2,-,2,2013,2024,12,Y,,,,,
Shockwave,4488,,-,-,-,-,-,-,2013,2024,12,N,,,,,
Otter Chaos,4512,,-,-,-,3,2,3,2013,2024,12,Y,,,,,
Circuit Breakers,4513,,-,-,-,-,-,-,2013,2024,12,Y,,,,,
RoboEagles,4579,,-,-,-,3,-,-,2013,2024,12,Y,,,,,
Byte Sized Robotics,4662,,-,-,-,-,-,-,2013,2024,12,N,,,,,
Murphy's Law,4681,,-,-,-,-,3,3,2013,2024,12,Y,,,,,
CyBears,4682,,-,-,-,4,4,4,2013,2024,12,Y,,,,,
Full Metal Robotics,4683,,-,-,-,6,7,7,2013,2020,8,N,,,,,
Metal Mallards,4692,,-,-,-,-,-,-,2013,2024,12,N,,,,,
Cyber Knights,4911,,-,-,-,1,1,1,2014,2024,11,Y,,,,,
Spartronics,4915,,-,-,-,-,2,2,2014,2024,11,Y,,,,,
The Roboctopi,4918,,-,-,-,2,-,-,2014,2024,11,Y,,,,,
Canine Crusaders,4980,,-,-,-,-,3,3,2014,2024,11,Y,,,,,
LakerBots,5085,,-,-,-,6,7,7,2014,2020,7,N,,,,,
Knight Tech,5198,,-,-,-,6,7,7,2014,2020,7,N,,,,,
Aldernating Current,5295,,-,-,-,-,-,-,2014,2024,11,N,,,,,
SHREC,5450,,-,-,-,-,6,6,2015,2022,8,N,,,,,
Chaos Theory,5468,,-,-,-,-,-,-,2015,2024,10,N,,,,,
Reign Robotics,5588,,-,-,-,2,3,4,2015,2024,10,Y,,,,,
Riverside Robotics,5683,,-,-,-,-,-,4,2015,2024,10,Y,,,,,
Apex Robotics,5803,,1,1,1,6,7,7,2016,2020,5,N,ishan,10/28/23,,,
Code Purple,5827,,-,-,-,3,1,3,2016,2024,9,Y,,,,,
Vikotics,5920,,-,-,-,-,-,3,2016,2024,9,Y,,,,,
MI Robotics,5937,,-,-,-,3,3,3,2016,2024,9,Y,,,,,
Cast Iron Orcas,5941,Y,-,-,-,5,5,4,2016,2024,9,Y,,,,,
Beavertronics,5970,,-,-,-,-,-,-,2016,2024,9,N,,,,,
Beta Blues,5975,,-,-,-,-,-,-,2016,2024,9,N,,,,,
Rosemary Rebels + POIC,5977,,-,-,-,6,7,7,2016,2020,5,N,,,,,
Mustang Mechanica,6076,,-,-,-,-,-,-,2016,2024,9,Y,,,,,
Steel Ridge Robotics,6343,,-,-,-,-,-,-,2017,2024,8,N,,,,,
Clawbots,6350,,-,-,-,4,2,3,2017,2024,8,Y,,,,,
Modern Americans,6442,,3,3,3,6,6,7,2017,2021,5,N,,,,,
AEMBOT,6443,,-,-,-,1,3,1,2017,2024,8,Y,,,,,
Mystic Biscuit,6465,,-,-,-,-,-,-,2017,2024,8,N,,,,,
Iron Dragon,6503,,-,-,-,6,6,7,2017,2021,5,N,,,,,
Cardinal Dynamics,6696,,-,-,-,-,-,-,2017,2024,8,N,,,,,
A-05 Annex,6831,,Null,-,-,-,-,-,2018,2024,7,N,,,,,
River Bots,6845,,Null,-,-,-,-,-,2018,2024,7,N,,,,,
2B Determined,7034,,Null,-,-,-,-,-,2018,2024,7,N,,,,,
ScotBots,7118,,Null,-,-,6,7,7,2018,2020,3,N,,,,,
S.C. Robotics,7448,,Null,4,4,6,7,7,2019,2020,2,N,isha,10/28/23,,,Pure Bunny Bots now
Sushi Squad,7461,,Null,4,-,3,2,2,2019,2024,6,Y,,,,,
Bearcat Robotics,7627,,Null,4,-,-,4,3,2019,2024,6,Y,,,,,
Redshift,8032,,Null,4,4,3,3,3,2020,2024,5,Y,,,,,
TinkRex,8051,,Null,Null,4,4,4,4,2020,2024,5,Y,,,,,
Robotics at Eastside Catholic (REC),8059,,Null,Null,4,6,7,7,2020,2020,1,N,,,,,last competed 2020
SpicyBots,8138,,Null,Null,4,6,7,7,2020,2020,1,N,,,,,last competed 2020
Bahlam Bots,8165,,Null,Null,4,6,7,7,2020,2020,1,N,,,,,last competed 2020
ChainLynx,8248,,Null,Null,4,0,0,0,2020,2024,5,Y,,,,,
Ni-Tro (formerly Beamer Team),8302,,Null,Null,4,4,3,4,2020,2024,5,Y,,,,,
G0LDEN_GAT0RS,8303,,Null,Null,4,4,3,3,2020,2024,5,Y,,,,,"review (3s could be 4s) [having inspected this team, 3 shoud be 4s for atleast 2023 -Isha]"
Th3_IRON_G0@+$,8386,,Null,Null,Null,4,4,4,2020,2024,5,Y,,,,,review
Classified,8532,,Null,Null,Null,2,2,2,2021,2024,4,N,,,,,
- \n (Linebreak),8546,,Null,Null,Null,1,2,1,2021,2024,4,Y,,,,,
Excelsior360!,8631,,Null,Null,Null,6,6,7,2021,2021,1,N,ishan,10/28/23,,,last competed 2021
Wolf Tech Robotics,8896,Y,Null,Null,Null,4,5,5,2022,2024,3,Y,,,,,
Future Martians,9023,,Null,Null,Null,Null,3,1,2023,2024,2,Y,,,,,
Ramen Robotics,9036,,Null,Null,Null,Null,3,3,2023,2024,2,Y,,,,,
Miso Mechanics,9442,,Null,Null,Null,Null,Null,3,2024,2024,1,Y,,,,,rookie year 2024
Velocity Raptors,9450,,Null,Null,Null,Null,Null,3,2024,2024,1,Y,,,,,rookie year 2024